# ecutwfc_Ry  alat_A  ecutrho_Ry  total_energy_Ry  total_energy_per_fu_Ry_fu  converged  iterations  wall_time
50          11.39   500         -827.74662917    -206.9366572925            yes        11          1m 3.13s
50          11.38   500         -827.74646304    -206.9366157600            yes        11          1m 3.77s
50          11.37   500         -827.74628717    -206.9365717925            yes        10          1m 0.23s
50          11.36   500         -827.74610372    -206.9365259300            yes        10          1m 1.67s
50          11.34   500         -827.74570592    -206.9364264800            yes        10          1m 0.11s
50          11.33   500         -827.74549259    -206.9363731475            yes        10          1m 1.56s
50          11.32   500         -827.74526744    -206.9363168600            yes        10          58.41s
50          11.31   500         -827.74503258    -206.9362581450            yes        10          59.44s
50          11.29   500         -827.74453253    -206.9361331325            yes        10          57.91s
50          11.28   500         -827.74426677    -206.9360666925            yes        10          55.42s
50          11.27   500         -827.74398898    -206.9359972450            yes        10          55.40s
50          11.26   500         -827.74370145    -206.9359253625            yes        10          55.15s
50          11.24   500         -827.74309299    -206.9357732475            yes        10          1m 0.31s
50          11.23   500         -827.74277265    -206.9356931625            yes        10          58.36s
50          11.22   500         -827.74243996    -206.9356099900            yes        10          1m 0.67s
50          11.21   500         -827.74209499    -206.9355237475            yes        9           46.67s
50          11.19   500         -827.74137555    -206.9353438875            yes        10          55.98s
50          11.18   500         -827.74099819    -206.9352495475            yes        11          58.95s
50          11.17   500         -827.74060818    -206.9351520450            yes        11          1m 0.17s
50          11.16   500         -827.74020619    -206.9350515475            yes        11          1m 1.78s
50          11.14   500         -827.73936732    -206.9348418300            yes        11          1m 1.63s
50          11.13   500         -827.73893024    -206.9347325600            yes        11          1m 5.53s
50          11.12   500         -827.73848189    -206.9346204725            yes        11          1m 8.46s
50          11.11   500         -827.73801807    -206.9345045175            yes        10          1m 3.34s
50          11.09   500         -827.73705288    -206.9342632200            yes        10          1m 2.02s
50          11.08   500         -827.73655321    -206.9341383025            yes        10          1m 4.31s
50          11.07   500         -827.73603944    -206.9340098600            yes        10          1m 4.00s
50          11.06   500         -827.73551369    -206.9338784225            yes        10          1m 4.83s
50          11.04   500         -827.73442363    -206.9336059075            yes        9           53.76s
50          11.03   500         -827.73385931    -206.9334648275            yes        9           54.44s
50          11.02   500         -827.73328123    -206.9333203075            yes        9           55.01s
50          11.01   500         -827.73268899    -206.9331722475            yes        9           52.52s
50          10.99   500         -827.73146787    -206.9328669675            yes        9           53.78s
50          10.98   500         -827.73083489    -206.9327087225            yes        9           50.30s
50          10.97   500         -827.73018666    -206.9325466650            yes        9           49.40s
50          10.96   500         -827.72952606    -206.9323815150            yes        9           48.39s
60          12.14   600         -827.74001411    -206.9350035275            yes        12          1m41.54s
